ward,item,location,cost,year,category
1,Alley Apron Menu,1383 N WOLCOTT AVE,157172.86,2024,Alleys
1,Alley Apron Menu,2619 N WASHTENAW AVE,69430.67,2024,Alleys
1,Alley Resurfacing Menu,1402 N WESTERN AVE; N WESTERN AVE & W HIRSCH ST&W LE MOYNE ST & N ARTESIAN AVE,37991.0,2024,Alleys
1,Arterial Street Bump Outs Menu,N ASHLAND AVE & W HURON ST; N ASHLAND AVE & W OHIO ST,52645.33,2024,Pedestrian Infrastructure
1,Arterial Street Bump Outs Menu,N WESTERN AVE & W BLOOMINGDALE AVE; 1800 N WESTERN AVE,50000.0,2024,Pedestrian Infrastructure
1,Curb & Gutter Menu,1415 N WOOD ST,43169.06,2024,Street Resurfacing
1,Curb & Gutter Menu,2002 N STAVE ST; 2540 W ARMITAGE AVE; W ARMITAGE AVE & N STAVE ST,51408.61,2024,Street Resurfacing
1,Goethe Elementary School - New Playspace and Field,2236 N ROCKWELL ST,100000.0,2024,Schools
1,Installation of LED and pedestrian countdown traffic signals at N. California Ave. & W. Armitage Ave.,N CALIFORNIA AVE & W ARMITAGE AVE,19957.74,2024,Pedestrian Infrastructure
1,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,W ARMITAGE AVE & N KEDZIE AVE,16987.88,2024,Pedestrian Infrastructure
1,Miscellaneous Other Projects,1425 N DAMEN AVE,175000.0,2024,Misc.
1,Park 399 Upgrades - 1420 N Artesian,1420 N ARTESIAN AVE,100000.0,2024,Parks
1,Pavement Markings Menu,ON W PALMER BLVD FROM N HUMBOLDT BLVD (2998 W) TO N KEDZIE BLVD (3200 W); ON W PALMER ST FROM N HUMBOLDT BLVD (2998 W) TO N KEDZIE AVE (3200 W),25000.0,2024,Street Redesign
1,Sidewalk Menu,1347 N GREENVIEW AVE,11062.3,2024,Sidewalk Repair
1,Sidewalk Menu,1601-1699 W SUPERIOR ST,70098.09,2024,Sidewalk Repair
1,Speed Indicator Signs,2634 W LOGAN BLVD; 2909 W LOGAN BLVD,24000.0,2024,Traffic Signals
1,Street Bump Outs Menu,N CALIFORNIA AVE & W CORTLAND ST,20463.11,2024,Pedestrian Infrastructure
1,Street Light Upgrade Menu,1502 N DAMEN AVE; 1530 N DAMEN AVE; 1542 N DAMEN AVE,1500.0,2024,Lighting
1,Street Resurfacing Menu,ON N BELL AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N); 1501-1599 N BELL AVE,41337.7,2024,Street Resurfacing
1,Street Resurfacing Menu,ON N WOOD ST FROM 1325 N TO W DIVISION ST (1200 N),150689.86,2024,Street Resurfacing
1,Street Speed Hump Menu,ON W CORTEZ ST FROM N DAMEN AVE (2000 W) TO N LEAVITT ST (2200 W),9760.0,2024,Street Resurfacing
1,Street Speed Hump Menu,ON W THOMAS ST FROM N DAMEN AVE (2000 W) TO N LEAVITT ST (2200 W),9760.0,2024,Street Resurfacing
1,Street Speed Hump Replacement,ON N BELL AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N); 1501-1599 N BELL AVE,0.0,2024,Street Resurfacing
1,Street Traffic Circle Menu,N ROCKWELL ST & W CORTLAND ST,24313.82,2024,Street Redesign
2,Alley Resurfacing Menu,N CLARK ST & W SCHILLER ST&W BURTON PL & N DEARBORN ST,27810.45,2024,Alleys
2,Alley Resurfacing Menu,N MAGNOLIA AVE & W WEBSTER AVE&W BELDEN AVE & N RACINE AVE,40370.34,2024,Alleys
2,Alley Resurfacing Menu,N WELLS ST & W GOETHE ST&W SCHILLER ST & N LA SALLE DR,34499.24,2024,Alleys
2,Alley Resurfacing Menu,N WELLS ST & W NORTH AVE; W BURTON PL & N LA SALLE DR,14492.33,2024,Alleys
2,Alley Speed Hump Menu,W FULLERTON AVE & N JANSSEN AVE&N SOUTHPORT AVE & W BELDEN AVE; 1425 W FULLERTON AVE,2900.0,2024,Alleys
2,Curb & Gutter Menu,161 W BURTON PL,4174.37,2024,Street Resurfacing
2,Curb & Gutter Menu,745 N FAIRBANKS CT; ON N FAIRBANKS CT FROM E SUPERIOR ST (732 N) TO E CHICAGO AVE (800 N),12676.67,2024,Street Resurfacing
2,Curb & Gutter Menu,ON E HURON ST FROM N MCCLURG CT (400 E) TO N LAKE SHORE DR (500 E),53108.91,2024,Street Resurfacing
2,In-Road State Law Stop For Pedestrians Sign Menu,N HALSTED ST & W BLACKHAWK ST,350.0,2024,Pedestrian Infrastructure
2,Sidewalk Menu,1250 N LA SALLE DR,22133.79,2024,Sidewalk Repair
2,Sidewalk Menu,1554 N DEARBORN PKWY,12128.9,2024,Sidewalk Repair
2,Sidewalk Menu,W WEBSTER AVE & N WAYNE AVE,28511.79,2024,Sidewalk Repair
2,Street Light Pole Painting Menu,ON N DEARBORN ST FROM W GOETHE ST (1300 N) TO W SCHILLER ST (1400 N),1800.0,2024,Lighting
2,Street Resurfacing Menu,540 E OHIO ST,19545.96,2024,Street Resurfacing
2,Street Resurfacing Menu,ON E LAKE SHORE DR FROM N LAKE SHORE DR RAMP (330 N) TO N MICHIGAN AVE (1000 N),55540.08,2024,Street Resurfacing
2,Street Speed Hump Menu,ON N LAKEWOOD AVE FROM W BELDEN AVE (2300 N) TO W FULLERTON AVE (2400 N),2440.0,2024,Street Resurfacing
3,Alley Resurfacing Menu,E 44TH PL & S VINCENNES AVE&E 45TH ST & S ST LAWRENCE AVE,57146.97,2024,Alleys
3,Alley Resurfacing Menu,S CALUMET AVE & E 42ND ST&E 43RD ST & S DR MARTIN LUTHER KING JR DR,46904.63,2024,Alleys
3,Alley Resurfacing Menu,S INDIANA AVE & E 21ST ST&E CULLERTON ST & S PRAIRIE AVE,17335.18,2024,Alleys
3,Alley Resurfacing Menu,S INDIANA AVE & E 50TH ST&E 51ST ST & S PRAIRIE AVE,31425.81,2024,Alleys
3,Alley Resurfacing Menu,S MICHIGAN AVE & E 40TH ST&E PERSHING RD & S INDIANA AVE,45297.8,2024,Alleys
3,Alley Resurfacing Menu,S STATE ST & W 43RD ST&E 44TH ST & S WABASH AVE,67066.03,2024,Alleys
3,Alley Resurfacing Menu,S VINCENNES AVE & E 46TH PL&E 47TH ST & S ST LAWRENCE AVE,44617.99,2024,Alleys
3,Alley Speed Hump Replacement,S CALUMET AVE & E 42ND ST&E 43RD ST & S DR MARTIN LUTHER KING JR DR,0.0,2024,Alleys
3,Arterial Street Bump Outs Menu,S INDIANA AVE & E 14TH ST; ON S INDIANA AVE FROM E 14TH ST (1400 S) TO E 15TH PL (1527 S),130000.0,2024,Pedestrian Infrastructure
3,Curb & Gutter Menu,3800-3814 S DR MARTIN LUTHER KING JR DR,34004.2,2024,Street Resurfacing
3,Installation of Accessible Pedestrian Signals (APS) at S. Dr. Martin Luther King Jr. Dr. & E. 41st ST.,S DR MARTIN LUTHER KING JR DR & E 41ST ST,76277.0,2024,Pedestrian Infrastructure
3,Miscellaneous CDOT Projects,5327 S PRAIRIE AVE,150.0,2024,Misc. CDOT
3,Miscellaneous CDOT Projects,S STATE ST & E 14TH PL,28340.46,2024,Misc. CDOT
3,Pavement Markings Menu,S INDIANA AVE & E 14TH ST; ON S INDIANA AVE FROM E 14TH ST (1400 S) TO E 15TH PL (1527 S),4000.0,2024,Street Redesign
3,Sidewalk Menu,1310 S WABASH AVE,17451.31,2024,Sidewalk Repair
3,Sidewalk Menu,3330 S INDIANA AVE,8519.87,2024,Sidewalk Repair
3,Sidewalk Menu,4918 S INDIANA AVE; 4948 S INDIANA AVE; 4938 S INDIANA AVE,15984.4,2024,Sidewalk Repair
3,Sidewalk Menu,4938 S DR MARTIN LUTHER KING JR DR,3323.41,2024,Sidewalk Repair
3,Sidewalk Menu,ON S DR MARTIN LUTHER KING JR DR E FROM E 45TH ST (4500 S) TO E 45TH PL (4530 S),40557.73,2024,Sidewalk Repair
3,Speed Indicator Signs,ON S INDIANA AVE FROM E 14TH ST (1400 S) TO E 15TH PL (1527 S),28000.0,2024,Traffic Signals
3,Street Resurfacing Menu,3800-3814 S DR MARTIN LUTHER KING JR DR,11743.8,2024,Street Resurfacing
3,Street Resurfacing Menu,ON E 29TH ST FROM S STATE ST (0 E) TO S MICHIGAN AVE (100 E),82088.75,2024,Street Resurfacing
3,Street Resurfacing Menu,ON E 44TH PL FROM S VINCENNES AVE (500 E) TO S ST LAWRENCE AVE (600 E),52948.69,2024,Street Resurfacing
