Street,From,To,Length (miles),Facility,Status,Planned Year
28th,Kostner,Albany,1.64,Neighborhood Bikeway,Installed,2023
30th,Kostner,Albany,1.63,Neighborhood Bikeway,Installed,2023
Broadway,Montrose,Wilson,0.28,Concrete Upgrade to Protected Bike Lane,Installed,2023
Loomis,76th,71st,0.63,Concrete Upgrade to Protected Bike Lane,Installed,2023
Roscoe,Campbell,Western,0.1,Concrete Upgrade to Protected Bike Lane,Installed,2023
71st,Langley,Cottage Grove,0.16,Protected Bike Lane,Underway,2023
Augusta,Western,Milwaukee,1.34,Protected Bike Lane,Underway,2023
Augusta,Milwaukee,Throop,0.11,Access Path,Underway,2023
Augusta,Throop,Elston,0.12,Shared Lane,Underway,2023
Belmont,Kimball,Western,1.27,Protected Bike Lane,Underway,2023
Belmont,Western,Ashland,0.99,Bike Lane,Underway,2023
Clark,Hollywood,Devon,0.99,Concrete Upgrade to Protected Bike Lane,Underway,2023
Grand,Chicago,Damen,1.27,Protected Bike Lane,Underway,2023
Wells,17th,Roosevelt,0.59,Protected Bike Lane,Underway,2023
Wells,Roosevelt,9th,0.24,Protected Bike Lane,Underway,2023
Wentworth,18th,17th,0.08,Protected Bike Lane,Underway,2023
115th,Major Taylor Trail,Union,0.3,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
119th,Ashland,Halsted,1.01,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
16th,Central Park,Homan,0.25,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
16th,Spaulding,Kedzie,0.13,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
18th,Canal,Wentworth,0.36,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
31st,Wells,LaSalle,0.15,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
31st,Michigan,Martin Luther King Jr,0.33,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
31st,Martin Luther King Jr,Fort Dearborn,0.48,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
55th,55th,Dorchester,0.09,Concrete Upgrade to Protected Bike Lane,Upcoming,2023
Armitage,Kedzie,Western,1,Bike Lane,Upcoming,2023
Berteau,Western,Lincoln,0.38,Neighborhood Bikeway,Upcoming,2023
