ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_5,lon_5,query_5
1,Alley Speed Hump Menu,N ASHLAND & W AV & N BOSWORTH AV & W NORTH AV & W LE MOYNE ST,2008,1000,233,N ASHLAND & W AV,N BOSWORTH AV & W AV,N ASHLAND & W NORTH AV,N BOSWORTH AV & W NORTH AV,N ASHLAND & W LE MOYNE ST,41.9520221,-87.6690442,google,NA,NA,google,41.91063028000008,-87.66769174599995,census,41.91065037900006,-87.66649783999998,census,41.90882133100007,-87.66763948799996,census
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,34617,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census
39,Alley Resurface Menu,N HAMLIN AV & N AVERS & W AV & W LAWRENCE AV & W AINSLIE ST,2005,20620,31310,N HAMLIN AV & W AV,N AVERS & W AV,N HAMLIN AV & W LAWRENCE AV,N AVERS & W LAWRENCE AV,N HAMLIN AV & W AINSLIE ST,41.9391654,-87.7222886,google,41.9409518,-87.7235522,google,41.96829556400007,-87.72314207199997,census,41.968283504000055,-87.72438421799995,census,41.97011657300004,-87.72319031099994,census
2,Alley Speed Hump Menu,W MAYPOLE AV & W LAKE ST & N OAKLEY & W AV & N BELL AV,2008,1000,1237,N OAKLEY & W MAYPOLE AV,N BELL AV & W MAYPOLE AV,N OAKLEY & W LAKE ST,N BELL AV & W LAKE ST,N OAKLEY & W AV,41.883925,-87.6840169,google,41.88394224800004,-87.68275024399998,census,41.88471406600007,-87.68406072799996,census,41.884737200000004,-87.6827561,google,41.8957819,-87.6843914,google
2,Alley Speed Hump Menu,W MAYPOLE AV & W WASHINGTON & N OAKLEY & W AV & N LEAVITT ST,2008,1000,1239,N OAKLEY & W MAYPOLE AV,N LEAVITT ST & W MAYPOLE AV,N OAKLEY & W WASHINGTON,N LEAVITT ST & W WASHINGTON,N OAKLEY & W AV,41.883925,-87.6840169,google,41.883906069000034,-87.68159251699996,census,41.88302973400005,-87.68401248899994,census,41.8830747,-87.6815631,google,41.8957819,-87.6843914,google
27,Concrete Alley Menu,N MILWAUKEE AV & W AUGUSTA BV & N WILLARD CT & N RACINE & W AV,2007,143000,21720,N MILWAUKEE AV & W AUGUSTA BV,N WILLARD CT & W AUGUSTA BV,N RACINE & W AUGUSTA BV,N MILWAUKEE AV & W AV,N WILLARD CT & W AV,41.89983286300003,-87.66095843499994,census,41.899848,-87.6585997,google,41.8998549,-87.6576454,google,41.9480062,-87.7384381,google,41.8943986,-87.6584637,google
3,Alley Resurfacing Menu (1-1),47TH ST & S DR MARTIN LUTHER KING JR DR & E 43RD ST & E 44TH ST & S VINCENNES AVE,2021,38436.09,2931,S DR MARTIN LUTHER KING JR DR & E 43RD ST,S VINCENNES AVE & E 43RD ST,S DR MARTIN LUTHER KING JR DR & E 44TH ST,S VINCENNES AVE & E 44TH ST,NA,41.8166412939152,-87.6165266200724,census,41.8166855126761,-87.614086548451,census,41.8148283247204,-87.6164783814242,census,41.8148725434812,-87.6140262501407,census,NA,NA,
2,Miscellaneous-CDOT,Madison & Monroe & Adams & Jackson & Van Buren.,2009,14883,1483,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,
2,Miscellaneous-CDOT,Jackson & Oakley & Leavitt & Hoyne & Seeley,2009,14036,1488,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,
2,Miscellaneous-Other,Madison & Damen & Western & California & Washington & Warren,2009,14883,1646,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,
42,Miscellaneous-CDOT,Canal & Clinton & Dearborn & Fulton & Wells,2007,52000,33644,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,
