ward,type,location,year,est_cost,id,point_location,lat,long,query
49,Alley Speed Hump Menu  2,037 W ESTES AVE,2019,700,39629,037 W ESTES AVE,42.0111179,-87.6860386,google
46,Miscellaneous-CDOT,10 Decorative Benches,2006,27000,36803,10 Decorative Benches,NA,NA,google
9,Sidewalk Menu,10 E 91ST ST,2018,34065.71,6771,10 E 91ST ST,41.729057116000035,-87.62341537099996,census
43,Street Resurfacing Menu,10 E SCOTT ST,2021,12701.75,43079,10 E SCOTT ST,41.90486923200007,-87.62835731899997,census
10,Miscellaneous-Other,10 th Ward,2008,100000,7425,10 th Ward,41.7044683,-87.5354511,google
29,Street Speed Hump Menu,100 S MASON AVE,2022,3525,42111,100 S MASON AVE,41.8789683,-87.773289,google
9,POD Camera,100 th Pl. & Michigan,2010,20000,6553,100 th Pl. & Michigan,41.7117795,-87.6200374,google
10,Miscellaneous-CDOT,100 th St. & Ewing St. to Avenu G.,2007,18700,7298,100 th St. & Ewing St. to Avenu G.,41.7008882,-87.5316543,google
10,Miscellaneous-CDOT,100 th St. & Ewing Street to Avenue G. (Additonal work),2008,19500,7387,100 th St. & Ewing Street to Avenue G. (Additonal work),41.7008882,-87.5316543,google
33,Miscellaneous-CDOT,100 tree grates on Kedzie Ave,2006,186000,26574,100 tree grates on Kedzie Ave,41.9241386,-87.7071964,google
4,Miscellaneous-Other,1000 E 43 rd Street,2007,257000,3106,1000 E 43 rd Street,41.817112,-87.601473,google
4,Miscellaneous-Other,1000 E 43 Street,2006,90000,3076,1000 E 43 Street,41.816891989000055,-87.60058004499996,census
4,Miscellaneous CDOT Projects,1000 E 43RD ST,2016,831,3413,1000 E 43RD ST,41.817112,-87.601473,google
37,Bollard Menu,1000 N CICERO AV,2010,800,30062,1000 N CICERO AV,41.8988157,-87.7461754,google
37,Street Speed Hump Menu,1000 N KARLOV AVE,2018,3700,30371,1000 N KARLOV AVE,41.8991014,-87.7289521,google
27,Alley Resurfacing Menu,1000 N RIDGEWAY AVE,2016,35479.79,22113,1000 N RIDGEWAY AVE,41.89922299600005,-87.72010320799995,census
27,POD Camera,1000 N. Avers,2010,13000,21909,1000 N. Avers,41.8992301,-87.7228831,google
16,Guardrail Menu,1000 S MORGAN ST,2007,18024,13118,1000 S MORGAN ST,41.86931714100007,-87.65112547799998,census
43,Sidewalk Menu,1000 W ARMITAGE AVE,2018,5242.22,35127,1000 W ARMITAGE AVE,41.91811113700004,-87.65344737899994,census
43,Miscellaneous-CDOT,1000 W. Armitage Ave.,2008,454,34488,1000 W. Armitage Ave.,41.91811113700004,-87.65344737899994,census
10,Sidewalk Menu,10000 S COMMERCIAL AVE,2018,4838,40656,10000 S COMMERCIAL AVE,41.71326334500003,-87.55096231999994,census
10,Street Lighting,10000 S EWING AV,2008,500,7423,10000 S EWING AV,41.71361592300008,-87.53527998099997,census
