ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
27,Alley Resurfacing Menu,N CARPENTER ST & W GRAND AVE & N ABERDEEN ST & W HUBBARD ST,2017,18214.155,41892,N CARPENTER ST & W GRAND AVE,N ABERDEEN ST & W GRAND AVE,N CARPENTER ST & W HUBBARD ST,N ABERDEEN ST & W HUBBARD ST,41.8911313,-87.6534762,google,41.8911209,-87.6546414,google,41.89002835700006,-87.65342918599998,census,41.8900234,-87.6546142,google
1,Alley Resurfacing Menu,N NOBLE ST & W OHIO ST & N ADA ST & W GRAND AVE,2016,49194.36,627,N NOBLE ST & W OHIO ST,N ADA ST & W OHIO ST,N NOBLE ST & W GRAND AVE,N ADA ST & W GRAND AVE,41.8925079,-87.6623074,google,41.89250862800003,-87.66081371899998,census,41.891041,-87.6622827,google,41.8910592,-87.6607631,google
27,Alley Speed Hump Menu,W FULTON BV & W CARROLL DR & N KEDZIE AV & N ALBANY AV,2005,1750,21588,N KEDZIE AV & W FULTON BV,N ALBANY AV & W FULTON BV,N KEDZIE AV & W CARROLL DR,N ALBANY AV & W CARROLL DR,41.8864202,-87.7062786,google,41.886454678000064,-87.70381445399994,census,41.8875186,-87.7063007,google,41.8875409,-87.7038429,google
33,Alley Speed Hump Menu,W MONTROSE AV & W CULLOM AV & N WHIPPLE ST & N ALBANY AV,2005,3500,26518,N WHIPPLE ST & W MONTROSE AV,N ALBANY AV & W MONTROSE AV,N WHIPPLE ST & W CULLOM AV,N ALBANY AV & W CULLOM AV,41.96121252300003,-87.70458225199997,census,41.961204483000074,-87.70579625799996,census,41.959399553000026,-87.70452195399997,census,41.95938347400005,-87.70574399999998,census
33,Alley Speed Hump Menu,W LAWRENCE AV & W LELAND AV & N TROY ST & N ALBANY AV,2005,1750,26516,N TROY ST & W LAWRENCE AV,N ALBANY AV & W LAWRENCE AV,N TROY ST & W LELAND AV,N ALBANY AV & W LELAND AV,41.96846841900003,-87.70725547799998,census,41.968476459000044,-87.70602941199996,census,41.96664339000006,-87.70719517899994,census,41.96665143000007,-87.70597313299999,census
2,Alley Speed Hump Menu,W MADISON ST & W WARREN AV & N SACRAMENTO AV & N ALBANY AV,2007,1000,1048,N SACRAMENTO AV & W MADISON ST,N ALBANY AV & W MADISON ST,N SACRAMENTO AV & W WARREN AV,N ALBANY AV & W WARREN AV,41.88102783000005,-87.70120554699997,census,41.8809944,-87.7036637,google,41.8819435,-87.7012323,google,41.88192024500006,-87.70368581799994,census
2,Alley Speed Hump Menu,W WASHINGTON & W WARREN AV & N SACRAMENTO AV & N ALBANY AV,2007,1000,1047,N SACRAMENTO AV & W WASHINGTON,N ALBANY AV & W WASHINGTON,N SACRAMENTO AV & W WARREN AV,N ALBANY AV & W WARREN AV,41.882848839000076,-87.70125378599994,census,41.88282471900004,-87.70370993699999,census,41.8819435,-87.7012323,google,41.88192024500006,-87.70368581799994,census
33,Alley Speed Hump Menu,N WHIPPLE ST & W CORNELIA AVE & N ALBANY AVE & W ADDISON ST,2014,2800,26837,N WHIPPLE ST & W CORNELIA AVE,N ALBANY AVE & W CORNELIA AVE,N WHIPPLE ST & W ADDISON ST,N ALBANY AVE & W ADDISON ST,41.94477118300006,-87.70408780599996,census,41.9447574,-87.7052969,google,41.946652491000066,-87.70414810499994,census,41.94664847100006,-87.70536613099995,census
33,Alley Resurfacing Menu,N TROY ST & W AINSLIE ST & W ARGYLE ST & N ALBANY AVE,2021,15471.75,42495,N TROY ST & W AINSLIE ST,N ALBANY AVE & W AINSLIE ST,N TROY ST & W ARGYLE ST,N ALBANY AVE & W ARGYLE ST,41.97028540800005,-87.70730371599996,census,41.9702899,-87.7060809,google,41.972098,-87.707327,google,41.972110437000026,-87.70613392899998,census
33,Alley Resurfacing Menu,N TROY ST & W BERTEAU AVE & W BELLE PLAINE AVE & N ALBANY AVE,2021,19852.13,42487,N TROY ST & W BERTEAU AVE,N ALBANY AVE & W BERTEAU AVE,N TROY ST & W BELLE PLAINE AVE,N ALBANY AVE & W BELLE PLAINE AVE,41.95756246500008,-87.70690574699995,census,41.9575632,-87.7056704,google,41.955748,-87.7068506,google,41.95575753500003,-87.70562742299995,census
33,Alley Resurfacing Menu,N WHIPPLE ST & W BELLE PLAINE AVE & N ALBANY AVE & W BERTEAU AVE,2019,40064.39,27042,N WHIPPLE ST & W BELLE PLAINE AVE,N ALBANY AVE & W BELLE PLAINE AVE,N WHIPPLE ST & W BERTEAU AVE,N ALBANY AVE & W BERTEAU AVE,41.955765575000044,-87.70440537699994,census,41.9557612,-87.7056269,google,41.95757854400006,-87.70446567599998,census,41.9575632,-87.7056704,google
26,Alley Resurfacing Menu,N TROY ST & W WABANSIA AVE & W BLOOMINGDALE AVE & N ALBANY AVE,2022,14467.27,41854,N TROY ST & W WABANSIA AVE,N ALBANY AVE & W WABANSIA AVE,N TROY ST & W BLOOMINGDALE AVE,N ALBANY AVE & W BLOOMINGDALE AVE,41.911952823000036,-87.70570782099998,census,41.91196488300005,-87.70456617299999,census,41.9137401,-87.7057459,google,41.9139028,-87.7051725,google
33,Alley Resurfacing Menu,N WHIPPLE ST & W IRVING PARK RD & W BYRON ST & N ALBANY AVE,2022,23321.28,27142,N WHIPPLE ST & W IRVING PARK RD,N ALBANY AVE & W IRVING PARK RD,N WHIPPLE ST & W BYRON ST,N ALBANY AVE & W BYRON ST,41.95394858600008,-87.70434909899996,census,41.95394054600007,-87.70557114499996,census,41.95213561700007,-87.70429683999998,census,41.9521225,-87.7055106,google
33,Alley Resurfacing Menu,N TROY ST & W ARGYLE ST & N ALBANY AVE & W CARMEN AVE,2015,32718,26877,N TROY ST & W ARGYLE ST,N ALBANY AVE & W ARGYLE ST,N TROY ST & W CARMEN AVE,N ALBANY AVE & W CARMEN AVE,41.97210239700007,-87.70735597499998,census,41.9721028,-87.7061207,google,41.97393144600005,-87.70740421299996,census,41.9739445,-87.7061782,google
1,Concrete Alley Menu,W ARMITAGE AVE & N WHIPPLE ST & N ALBANY AVE & W CORTLAND ST,2022,320000,914,N WHIPPLE ST & W ARMITAGE AVE,N ALBANY AVE & W ARMITAGE AVE,N WHIPPLE ST & W CORTLAND ST,N ALBANY AVE & W CORTLAND ST,41.9174197,-87.7039384,google,41.9174046,-87.7052479,google,41.91560288100004,-87.70389083199996,census,41.9155903,-87.705213,google
33,Alley Speed Hump Menu,W MONTROSE AVE & N TROY ST & W CULLOM AVE & N ALBANY AVE,2015,2100,26892,N TROY ST & W MONTROSE AVE,N ALBANY AVE & W MONTROSE AVE,N TROY ST & W CULLOM AVE,N ALBANY AVE & W CULLOM AVE,41.96119644300006,-87.70702232399998,census,41.961204483000074,-87.70579625799996,census,41.95937141400003,-87.70696604599999,census,41.9593913,-87.7057466,google
33,Alley Resurfacing Menu,N WHIPPLE ST & W BERTEAU AVE & N ALBANY AVE & W CULLOM AVE,2016,40140.81,26926,N WHIPPLE ST & W BERTEAU AVE,N ALBANY AVE & W BERTEAU AVE,N WHIPPLE ST & W CULLOM AVE,N ALBANY AVE & W CULLOM AVE,41.95757854400006,-87.70446567599998,census,41.9575632,-87.7056704,google,41.959399553000026,-87.70452195399997,census,41.9593913,-87.7057466,google
33,Alley Resurfacing Menu,N WHIPPLE ST & W BERTEAU AVE & N ALBANY AVE & W CULLOM AVE,2016,6150.49,26936,N WHIPPLE ST & W BERTEAU AVE,N ALBANY AVE & W BERTEAU AVE,N WHIPPLE ST & W CULLOM AVE,N ALBANY AVE & W CULLOM AVE,41.95757854400006,-87.70446567599998,census,41.9575632,-87.7056704,google,41.959399553000026,-87.70452195399997,census,41.9593913,-87.7057466,google
33,Alley Resurfacing Menu,N TROY ST & W SUNNYSIDE AVE & W MONTROSE AVE & N ALBANY AVE,2021,19769.23,42489,N TROY ST & W SUNNYSIDE AVE,N ALBANY AVE & W SUNNYSIDE AVE,N TROY ST & W MONTROSE AVE,N ALBANY AVE & W MONTROSE AVE,41.96302549200004,-87.70708262199997,census,41.963033532000054,-87.70585655699995,census,41.9611873,-87.7070167,google,41.9611982,-87.7058024,google
33,Alley Resurfacing Menu,N WHIPPLE ST & W CULLOM AVE & W MONTROSE AVE & N ALBANY AVE,2021,55105.68,27082,N WHIPPLE ST & W CULLOM AVE,N ALBANY AVE & W CULLOM AVE,N WHIPPLE ST & W MONTROSE AVE,N ALBANY AVE & W MONTROSE AVE,41.959399553000026,-87.70452195399997,census,41.9593913,-87.7057466,google,41.96121252300003,-87.70458225199997,census,41.9611982,-87.7058024,google
27,Alley Resurfacing Menu,W FULTON BLVD & N KEDZIE AVE & W WALNUT ST & N ALBANY AVE,2015,36167,22075,N KEDZIE AVE & W FULTON BLVD,N ALBANY AVE & W FULTON BLVD,N KEDZIE AVE & W WALNUT ST,N ALBANY AVE & W WALNUT ST,41.886422518000074,-87.70627864499994,census,41.8864514,-87.703808,google,41.8853888,-87.7062426,google,41.8854175,-87.7037832,google
33,Alley Resurfacing Menu,W ADDISON ST & N WHIPPLE ST & W WAVELAND AVE & N ALBANY AVE,2018,35227.48,27009,N WHIPPLE ST & W ADDISON ST,N ALBANY AVE & W ADDISON ST,N WHIPPLE ST & W WAVELAND AVE,N ALBANY AVE & W WAVELAND AVE,41.946652491000066,-87.70414810499994,census,41.9466488,-87.7053747,google,41.94847751900005,-87.70420036299998,census,41.9484759,-87.705422,google
44,Alley Resurface Menu,N KENMORE AV & N ALTA VISTA TR & W BYRON ST & W GRACE ST,2009,24160,35341,N KENMORE AV & W BYRON ST,N ALTA VISTA TR & W BYRON ST,N KENMORE AV & W GRACE ST,N ALTA VISTA TR & W GRACE ST,41.952658202000066,-87.65570042199994,census,41.952658202000066,-87.65570042199994,census,41.951106526000046,-87.65565218399996,census,41.951106526000046,-87.65565218399996,census
1,Alley Resurfacing Menu,W GRAND AVE & N ASHLAND AVE & N ARMOUR ST & W HUBBARD ST,2021,13032.105,40261,N ASHLAND AVE & W GRAND AVE,N ARMOUR ST & W GRAND AVE,N ASHLAND AVE & W HUBBARD ST,N ARMOUR ST & W HUBBARD ST,41.89097705100005,-87.66714102199995,census,41.89100117000004,-87.66551296699998,census,41.889887661000046,-87.66710886299995,census,41.889907761000075,-87.66548080799998,census
27,Alley Resurface Menu,N ASHLAND AV & W HUBBARD ST & W KINZIE ST & N ARMOUR ST,2009,17634,21815,N ASHLAND AV & W HUBBARD ST,N ARMOUR ST & W HUBBARD ST,N ASHLAND AV & W KINZIE ST,N ARMOUR ST & W KINZIE ST,41.889887661000046,-87.66710886299995,census,41.889907761000075,-87.66548080799998,census,41.888854550000076,-87.66706866399994,census,41.888858570000025,-87.66545266899999,census
27,Alley Resurface Menu,W ERIE ST & W OHIO ST & N BISHOP ST & N ARMOUR ST,2011,14024,21927,N BISHOP ST & W ERIE ST,N ARMOUR ST & W ERIE ST,N BISHOP ST & W OHIO ST,N ARMOUR ST & W OHIO ST,41.89339300300003,-87.66395727099996,census,41.893372904000046,-87.66557728599997,census,41.89247646900003,-87.66392913199996,census,41.89245636900006,-87.66555316599994,census
50,Alley Speed Hump Menu,N CAMPBELL AV & N ARTESIAN AV & W DEVON AV & W ARTHUR AV,2007,500,39806,N CAMPBELL AV & W DEVON AV,N ARTESIAN AV & W DEVON AV,N CAMPBELL AV & W ARTHUR AV,N ARTESIAN AV & W ARTHUR AV,41.9976884,-87.692319,google,41.997713100000055,-87.69110356999994,census,41.99950596900004,-87.69236983499997,census,41.99952606900007,-87.69114778899996,census
47,Alley Speed Hump Menu,N WESTERN AV & N ARTESIAN AV & W LELAND AV & W LAWRENCE AV,2005,1750,37289,N WESTERN AV & W LELAND AV,N ARTESIAN AV & W LELAND AV,N WESTERN AV & W LAWRENCE AV,N ARTESIAN AV & W LAWRENCE AV,41.9667959,-87.6889375,google,41.96677604700005,-87.69007045899997,census,41.9686121,-87.6888226,google,41.968605095000044,-87.69012673799995,census
1,Alley Resurfacing Menu (1-1),W FULLERTON AVE & N WESTERN AVE & N ARTESIAN AVE & W ALTGELD ST,2019,13048.04,40238,N WESTERN AVE & W FULLERTON AVE,N ARTESIAN AVE & W FULLERTON AVE,N WESTERN AVE & W ALTGELD ST,N ARTESIAN AVE & W ALTGELD ST,41.9249034,-87.6877228,google,41.9248961,-87.6888697,google,41.92673394900004,-87.68785148099994,census,41.92670982900006,-87.68892881099998,census
40,Alley Speed Hump Menu,N CAMPBELL AVE & W HOLLYWOOD AVE & N ARTESIAN AVE & W BRYN MAWR AVE,2017,1400,32557,N CAMPBELL AVE & W HOLLYWOOD AVE,N ARTESIAN AVE & W HOLLYWOOD AVE,N CAMPBELL AVE & W BRYN MAWR AVE,N ARTESIAN AVE & W BRYN MAWR AVE,41.98497809700007,-87.69192764699994,census,41.98498613600003,-87.69071364099995,census,41.9831538,-87.6918676,google,41.9831575,-87.6906564,google
26,Concrete Alley Menu,W OHIO ST & N CAMPBELL AVE & W GRAND AVE & N ARTESIAN AVE,2018,178000,21453,N CAMPBELL AVE & W OHIO ST,N ARTESIAN AVE & W OHIO ST,N CAMPBELL AVE & W GRAND AVE,N ARTESIAN AVE & W GRAND AVE,41.8920868,-87.6891881,google,41.89209,-87.6879473,google,41.8913511,-87.6891833,google,41.890847,-87.6879238,google
26,Alley Resurfacing Menu,N WESTERN AVE & W OHIO ST & N ARTESIAN AVE & W GRAND AVE,2019,36396.35,21480,N WESTERN AVE & W OHIO ST,N ARTESIAN AVE & W OHIO ST,N WESTERN AVE & W GRAND AVE,N ARTESIAN AVE & W GRAND AVE,41.8921074,-87.6868018,google,41.89209,-87.6879473,google,41.8906552,-87.6866342,google,41.890847,-87.6879238,google
27,Alley Resurfacing Menu,N WESTERN AVE & W GRAND AVE & N ARTESIAN AVE & W HUBBARD ST,2016,41094.1,22115,N WESTERN AVE & W GRAND AVE,N ARTESIAN AVE & W GRAND AVE,N WESTERN AVE & W HUBBARD ST,N ARTESIAN AVE & W HUBBARD ST,41.8906552,-87.6866342,google,41.890847,-87.6879238,google,41.8895705,-87.6866037,google,41.8895378,-87.6878961,google
32,Alley Resurfacing Menu,W DIVERSEY AVE & N WESTERN AVE & W SCHUBERT AVE & N ARTESIAN AVE,2016,33861.79,26219,N WESTERN AVE & W DIVERSEY AVE,N ARTESIAN AVE & W DIVERSEY AVE,N WESTERN AVE & W SCHUBERT AVE,N ARTESIAN AVE & W SCHUBERT AVE,41.9321771,-87.6878471,google,41.93216079700005,-87.68912578599998,census,41.9303328,-87.6877762,google,41.93034380800003,-87.68906146699999,census
47,Alley Speed Hump Menu,W ADDISON ST & N CAMPBELL AVE & W WAVELAND AVE & N ARTESIAN AVE,2014,700,37784,N CAMPBELL AVE & W ADDISON ST,N ARTESIAN AVE & W ADDISON ST,N CAMPBELL AVE & W WAVELAND AVE,N ARTESIAN AVE & W WAVELAND AVE,41.94672,-87.6906803,google,41.94673288800004,-87.68946747599995,census,41.948512,-87.6907341,google,41.94852977800008,-87.68951973499998,census
