,ward,type,location,year,est_cost,id,start_location,end_location,lat_1,lon_1,query_1,lat_2,lon_2,query_2
33,26,Curb & Gutter Menu,1015-1021 N CAMPBELL AVE,2017,9931.4,21416,1015 N CAMPBELL AVE,1021 N CAMPBELL AVE,,,census,41.86920214700007,-87.68853290799996,census
191,25,Miscellaneous-CDOT,1200-1234 W 18 th St - Racine to Allport on North side,2008,15004.0,20155,1200 W 18 th St - Racine to Allport on North side,1234 W 18 th St - Racine to Allport on North side,,,census,,,census
196,2,Pole Painting,S UNION AVE & S DAN RYAN ENTR RP (1077 S) & S DAN RYAN ENTR RP (1250 S),2011,2700.0,1792,1077 S UNION AVE,1250 S UNION AVE,,,census,41.8656744,-87.6452224,google
197,2,Street Lighting,S UNION AVE & S DAN RYAN ENTR RP (1077 S) & S DAN RYAN ENTR RP (1250 S),2011,3600.0,1801,1077 S UNION AVE,1250 S UNION AVE,,,census,41.8656744,-87.6452224,google
210,26,Street Resurface Menu,N CAMPBELL AVE & W DIVISION ST (1200 N) & W POTOMAC AV (1300 N),2011,33195.0,21200,1200 N CAMPBELL AVE,1300 N CAMPBELL AVE,,,census,,,census
233,3,Sidewalk Menu,1240-1330 S STATE ST,2019,33179.48,2868,1240 S STATE ST,1330 S STATE ST,41.86625487600003,-87.62748378299995,census,,,census
234,3,Sidewalk Menu,1240-1330 S STATE ST,2019,6300.0,2873,1240 S STATE ST,1330 S STATE ST,41.86625487600003,-87.62748378299995,census,,,census
524,25,Street Resurface Menu(1-5),W 23RD ST & S DAMEN AV (2000 W) & S LEAVITT ST (2200 W),2011,106112.0,20482,2000 W 23RD ST,2200 W 23RD ST,41.85036896700007,-87.67583168099998,census,,,census
598,25,Alley Speed Hump Menu,2423-2425 S WENTWORTH AVE,2019,700.0,20735,2423 S WENTWORTH AVE,2425 S WENTWORTH AVE,,,census,,,census
605,25,Sidewalk Menu,2401-2447 W 24TH ST,2022,34232.86,20885,2401 W 24TH ST,2447 W 24TH ST,,,census,,,census
643,28,Sidewalk Menu,W 23RD ST & S WESTERN AV (2400 W) & S ROCKWELL ST (2600 W),2011,32323.0,22635,2400 W 23RD ST,2600 W 23RD ST,41.85021767500007,-87.68576998599997,census,,,census
738,12,Street Light Residential,ON 23 FROM S CALIFORNIA AV (2800 W) TO Dead End (2866 W),2013,72000.0,9300,E 23RD ST and S CALIFORNIA AV,2866 E 23RD ST,,,google,,,census
739,3,Sidewalk Menu - Change Order,ON S STATE ST FROM 2728 S TO 2890 S,2011,89995.0,2603,2728 S STATE ST,2890 S STATE ST,,,census,,,census
934,27,Street Speed Hump Menu,W OHIO ST & N ST LOUIS AV (3500 W) & N HOMAN AV (3400 W),2011,3700.0,21949,3500 W OHIO ST,3400 W OHIO ST,41.8919528,-87.7139665,google,,,census
975,27,Street Resurface Menu,W OHIO ST & N TRUMBULL AV (3432 W) & N ST LOUIS AV (3500 W),2011,39700.0,21946,3432 W OHIO ST,3500 W OHIO ST,,,census,41.8919528,-87.7139665,google
2137,1,Sidewalk Menu,N ASHLAND AVE & W CHICAGO AV (800 N) & W PEARSON ST (840 N),2011,80248.0,417,800 N ASHLAND AVE,840 N ASHLAND AVE,,,census,,,census
2138,1,Sidewalk Menu - Change Order,N ASHLAND AVE & W CHICAGO AV (800 N) & W PEARSON ST (840 N),2011,1526.0,420,800 N ASHLAND AVE,840 N ASHLAND AVE,,,census,,,census
2273,27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2009 , 2008 menu)",2010,19455.0,21905,Albany & Walnut,"Albany & TPC = $20 ,000 (2009 , 2008 menu)",41.8854175,-87.7037832,google,,,google
2274,27,POD Camera,"Albany & Walnut - TPC = $20 ,000 (2010 , 2009 , 2008 menu)",2009,413.0,21857,Albany & Walnut,"Albany & TPC = $20 ,000 (2010 , 2009 , 2008 menu)",41.8854175,-87.7037832,google,,,google
