,ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
79,43,Alley Resurfacing Menu,N STATE PKWY & E BURTON PL & N ASTOR ST & E NORTH AVE,2019,10316.36,35148,N STATE PKWY & E BURTON PL,N ASTOR ST & E BURTON PL,N STATE PKWY & E NORTH AVE,N ASTOR ST & E NORTH AVE,41.9094835,-87.6288336,google,41.90950069200005,-87.62760542999996,census,,,google,41.91124532300006,-87.62766170799995,census
1425,41,New Alley Construction,W HOBART AVE & N HURLBUT ST & W NEW HAMPSHIRE ST & N NEWCASTLE AVE,2011,132000.0,33068,N HURLBUT ST & W HOBART AVE,N NEWCASTLE AVE & W HOBART AVE,N HURLBUT ST & W NEW HAMPSHIRE ST,N NEWCASTLE AVE & W NEW HAMPSHIRE ST,41.9835668,-87.7975912,google,41.98355907600006,-87.79758234599996,census,41.98517,-87.7997923,google,,,google
1482,2,Alley Speed Hump Menu,N WESTERN AV & N OAKLEY & W LAKE ST & W MAPLE ST,2007,500.0,1055,N WESTERN AV & W LAKE ST,N OAKLEY & W LAKE ST,N WESTERN AV & W MAPLE ST,N OAKLEY & W MAPLE ST,41.884637688000055,-87.68652491799998,census,41.88471406600007,-87.68406072799996,census,,,google,41.9018483,-87.6306639,google
2109,11,Alley Resurface Menu,S CARPENTER ST & S ABERDEEN ST & W 34 ST & W 32 PL,2008,44419.0,8176,S CARPENTER ST & W 34th ST,S ABERDEEN ST & W 34th ST,S CARPENTER ST & W 32nd PL,S ABERDEEN ST & W 32nd PL,,,google,41.831577,-87.6534166,google,41.835245,-87.6522948,google,41.83522925300008,-87.65351360399995,census
2253,10,Alley Speed Hump Menu,S AVENUE F & S AVENUE G & E 10 ST & E 12 ST,2007,500.0,7275,S AVENUE F & E 10th ST,S AVENUE G & E 10th ST,S AVENUE F & E 12th ST,S AVENUE G & E 12th ST,,,google,41.7008882,-87.5316543,google,,,google,41.7008882,-87.5316543,google
2309,10,Alley Speed Hump Menu,E 95 ST & E 96 ST & S AVENUE M & S AVENUE L,2005,1750.0,6995,S AVENUE M & E 95th ST,S AVENUE L & E 95th ST,S AVENUE M & E 96th ST,S AVENUE L & E 96th ST,41.7229371,-87.5377136,google,,,google,41.7213216,-87.5376982,google,41.7213192,-87.5364976,google
2365,10,Alley Speed Hump Menu,E 129 ST & E 130 ST & S HOUSTON AV & S BALTIMORE AV,2005,4375.0,6954,S HOUSTON AV & E 129th ST,S BALTIMORE AV & E 129th ST,S HOUSTON AV & E 130th ST,S BALTIMORE AV & E 130th ST,41.66094703700003,-87.54836138999997,census,,,google,41.65916622700007,-87.54834531099993,census,41.65915818700006,-87.54713130499994,census
2465,9,Alley Resurface Menu,E 120 PL & E 121 ST & S PRAIRIE AV & S CALUMET AV,2005,17333.0,6227,S PRAIRIE AV & E 120th PL,S CALUMET AV & E 120th PL,S PRAIRIE AV & E 121st ST,S CALUMET AV & E 121st ST,41.67537843300005,-87.61651455999998,census,41.67539853200003,-87.61536889299998,census,41.6743501,-87.6190055,google,,,google
2618,5,Alley Resurface Menu,E 68 ST & E 69 ST & S STONY ISLAND AV & S CORNELL AV,2006,17360.0,3667,S STONY ISLAND AV & E 68th ST,S CORNELL AV & E 68th ST,S STONY ISLAND AV & E 69th ST,S CORNELL AV & E 69th ST,41.77151805800003,-87.58628098799994,census,,,google,41.769701069000064,-87.58623676899998,census,41.7696973,-87.5844424,google
2736,5,Alley Resurfacing Menu,S CORNELL AVE & E 67TH ST & S EAST END AVE & E 68TH ST,2018,18103.345,40443,S CORNELL AVE & E 67TH ST,S EAST END AVE & E 67TH ST,S CORNELL AVE & E 68TH ST,S EAST END AVE & E 68TH ST,41.77334710700006,-87.58507904099997,census,41.77336318700003,-87.58385699599995,census,,,google,41.7714107,-87.5919315,google
2737,5,Alley Resurfacing Menu,S CORNELL AVE & E 68TH ST & S EAST END AVE & E 69TH ST,2018,29508.41,4149,S CORNELL AVE & E 68TH ST,S EAST END AVE & E 68TH ST,S CORNELL AVE & E 69TH ST,S EAST END AVE & E 69TH ST,,,google,41.7714107,-87.5919315,google,41.7696973,-87.5844424,google,41.76972518900004,-87.58376855799997,census
2797,34,Alley Resurface Menu,"S UNION AV & S EMERALD AV & W 121 ST & W 122 ST6 ,076",2005,26076.0,27175,S UNION AV & W 121st ST,S EMERALD AV & W 121st ST,"S UNION AV & W 122nd ST6 ,076","S EMERALD AV & W 122nd ST6 ,076",,,google,41.67444,-87.6243539,google,41.6723807,-87.6393228,google,41.6723662,-87.6405184,google
2967,11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000.0,8128,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.77429580100005,-87.64464171199995,census,,,google,41.76371,-87.6443629,google
3115,9,Alley Speed Hump Menu,E 20 ST & E 21 ST & S EDBROOKE AV & S INDIANA AV,2005,875.0,6281,S EDBROOKE AV & E 20th ST,S INDIANA AV & E 20th ST,S EDBROOKE AV & E 21st ST,S INDIANA AV & E 21st ST,41.6649275,-87.618756,google,,,google,41.8542947,-87.6230629,google,41.85431165800003,-87.62233535699994,census
3590,3,Alley Speed Hump Menu,S WABASH AV & S MICHIGAN AV & E 3 ST & E 5 ST,2006,2500.0,2398,S WABASH AV & E 3rd ST,S MICHIGAN AV & E 3rd ST,S WABASH AV & E 5th ST,S MICHIGAN AV & E 5th ST,41.83467852800004,-87.62506084099994,census,,,google,41.7740666,-87.6239578,google,41.7637496,-87.6216459,google
3707,11,Alley Speed Hump Menu,W 3 ST & W 5 ST & S PARNELL AV & S NORMAL,2007,1500.0,8132,S PARNELL AV & W 3rd ST,S NORMAL & W 3rd ST,S PARNELL AV & W 5th ST,S NORMAL & W 5th ST,41.8286448,-87.6399521,google,,,google,41.8286448,-87.6399521,google,41.8284805,-87.6387354,google
3842,3,Alley Speed Hump Menu,S CALUMET AV & S PRAIRIE AV & W 2 ST & W 3 ST,2005,2000.0,2365,S CALUMET AV & W 2nd ST,S PRAIRIE AV & W 2nd ST,S CALUMET AV & W 3rd ST,S PRAIRIE AV & W 3rd ST,41.766575,-87.6168901,google,,,google,41.766575,-87.6168901,google,,,google
3886,24,Alley Speed Hump Menu,S KEELER AV & S PULASKI RD & W 9 ST & W CULLERTON ST,2007,500.0,19432,S KEELER AV & W 9th ST,S PULASKI RD & W 9th ST,S KEELER AV & W CULLERTON ST,S PULASKI RD & W CULLERTON ST,41.8705187,-87.6295426,google,,,google,41.8543411,-87.7297132,google,41.8544027,-87.7248275,google
3986,10,Alley Speed Hump Menu,E 128 ST & E 129 ST & S TORRENCE AV & S SAGINAW AV,2005,1750.0,7033,S TORRENCE AV & E 128th ST,S SAGINAW AV & E 128th ST,S TORRENCE AV & E 129th ST,S SAGINAW AV & E 129th ST,41.662833,-87.5538052,google,41.66285648300004,-87.55805333899997,census,,,google,41.66103145500006,-87.55805735899997,census
4049,22,Alley Speed Hump Menu,S CHRISTIANA AV & S SPAULDING AV & W 7 ST & W 8 ST,2007,1050.0,17454,S CHRISTIANA AV & W 7th ST,S SPAULDING AV & W 7th ST,S CHRISTIANA AV & W 8th ST,S SPAULDING AV & W 8th ST,41.79443,-87.937526,google,41.79443,-87.937526,google,41.792612,-87.9376967,google,,,google
4050,22,Alley Speed Hump Menu,W 7 ST & W 8 ST & S CHRISTIANA AV & S SPAULDING AV,2010,1400.0,17519,S CHRISTIANA AV & W 7th ST,S SPAULDING AV & W 7th ST,S CHRISTIANA AV & W 8th ST,S SPAULDING AV & W 8th ST,41.79443,-87.937526,google,41.79443,-87.937526,google,41.792612,-87.9376967,google,,,google
4200,10,Alley Speed Hump Menu,S SAGINAW AV & S TORRENCE AV & E 129 ST & E 130 ST,2010,1400.0,7479,S SAGINAW AV & E 129th ST,S TORRENCE AV & E 129th ST,S SAGINAW AV & E 130th ST,S TORRENCE AV & E 130th ST,41.66103145500006,-87.55805735899997,census,,,google,41.65919838600007,-87.55806941799995,census,41.6591616,-87.5786743,google
