ward,item,location,cost,year,category
1,Alley Resurfacing Menu (1-1),W FULLERTON AVE &  N WESTERN AVE&N ARTESIAN AVE &  W ALTGELD ST; 2440 N WESTERN AVE,26096.08,2019,Alleys
1,Alley Resurfacing Menu (1-1),W OHIO ST &  N DAMEN AVE&W RACE AVE &  N WOLCOTT AVE,17652.5,2019,Alleys
1,Alley Resurfacing Menu,1400 N CAMPBELL AVE; N CAMPBELL AVE &  W LE MOYNE ST&W HIRSCH ST &  N MAPLEWOOD AVE,42062.5,2019,Alleys
1,Alley Resurfacing Menu,2426 W NORTH AVE; W NORTH AVE &  N ARTESIAN AVE&N WESTERN AVE &  W WABANSIA AVE,49754.75,2019,Alleys
1,Alley Resurfacing Menu,2726 W CHANAY ST; W CHANAY ST &  N POINT ST,11142.29,2019,Alleys
1,Alley Resurfacing Menu,2727 W CHANAY ST; W JULIA CT &  N STAVE ST&N STAVE ST &  W ST HELEN ST,17897.62,2019,Alleys
1,Alley Resurfacing Menu,3221 W ARMITAGE AVE; W ARMITAGE AVE &  N KEDZIE AVE&N SAWYER AVE &  W CORTLAND ST,52544.93,2019,Alleys
1,Alley Resurfacing Menu,N ARTESIAN AVE &  W WABANSIA AVE&W NORTH AVE &  N CAMPBELL AVE; 1614 N ARTESIAN AVE,57355.82,2019,Alleys
1,Alley Resurfacing Menu,N ROCKWELL ST &  W CORTLAND ST&N TALMAN AVE &  W BLOOMINGDALE AVE,70987.02,2019,Alleys
1,Alley Resurfacing Menu,N WHIPPLE ST &  W BLOOMINGDALE AVE&N HUMBOLDT BLVD W &  W CORTLAND ST,30312.28,2019,Alleys
1,Alley Resurfacing Menu,W CORTEZ ST &  N CALIFORNIA AVE&N WASHTENAW AVE &  W THOMAS ST; 2700 W CORTEZ ST,54835.03,2019,Alleys
1,Alley Speed Hump Replacement,1400 N CAMPBELL AVE; N CAMPBELL AVE &  W LE MOYNE ST&W HIRSCH ST &  N MAPLEWOOD AVE,0,2019,Alleys
1,Alley Speed Hump Replacement,3221 W ARMITAGE AVE; W ARMITAGE AVE &  N KEDZIE AVE&N SAWYER AVE &  W CORTLAND ST,0,2019,Alleys
1,Alley Speed Hump Replacement,N ARTESIAN AVE &  W WABANSIA AVE&W NORTH AVE &  N CAMPBELL AVE; 1614 N ARTESIAN AVE,0,2019,Alleys
1,Alley Speed Hump Replacement,W CORTEZ ST &  N CALIFORNIA AVE&N WASHTENAW AVE &  W THOMAS ST; 2700 W CORTEZ ST,0,2019,Alleys
1,Alley Speed Hump Replacement,W FULLERTON AVE &  N WESTERN AVE&N ARTESIAN AVE &  W ALTGELD ST; 2440 N WESTERN AVE,0,2019,Alleys
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N CALIFORNIA AVE &  W ALTGELD ST,600,2019,Pedestrian Infrastructure
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N CALIFORNIA AVE &  W PALMER ST,350,2019,Pedestrian Infrastructure
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N CALIFORNIA AVE &  W SHAKESPEARE AVE,350,2019,Pedestrian Infrastructure
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N DAMEN AVE &  W EVERGREEN AVE,600,2019,Pedestrian Infrastructure
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N DAMEN AVE &  W HURON ST,600,2019,Pedestrian Infrastructure
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N DAMEN AVE &  W LE MOYNE ST,1200,2019,Pedestrian Infrastructure
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N MILWAUKEE AVE &  N HONORE ST,700,2019,Pedestrian Infrastructure
1,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",N MILWAUKEE AVE &  N WASHTENAW AVE,350,2019,Pedestrian Infrastructure
