ward,item,location,cost
1,1 PTZ Camera - NE N Milwaukee & W Francis Pl,N MILWAUKEE AVE &  W FRANCIS PL,"$24,776.00"
1,Alley Resurfacing Menu (2022),1020 N MARSHFIELD AVE; W CORTEZ ST &  N MARSHFIELD AVE&N PAULINA ST &  W AUGUSTA BLVD,"$38,302.06"
1,Alley Resurfacing Menu (2022),1220 N PAULINA ST; N WOOD ST &  W CRYSTAL ST&W DIVISION ST &  N HERMITAGE AVE,"$35,429.60"
1,Alley Resurfacing Menu (2022),1825 N FRANCISCO AVE; N FRANCISCO AVE &  W CORTLAND ST&W BLOOMINGDALE AVE & N MOZART ST,"$35,815.98"
1,Alley Resurfacing Menu (2022),835 N HERMITAGE AVE; N HERMITAGE AVE &  W CHICAGO AVE&W PEARSON ST &  N PAULINA ST,"$32,806.97"
1,Alley Resurfacing Menu (2022),910 N HERMITAGE AVE; W AUGUSTA BLVD &  N WOOD ST&N HERMITAGE AVE &  W WALTON ST,"$10,883.82"
1,Alley Resurfacing Menu (2022),N ELK GROVE AVE &  N WOOD ST&N HONORE ST &  N MILWAUKEE AVE,"$34,361.50"
1,Alley Resurfacing Menu (2022),N MOZART ST &  W CORTLAND ST&W ARMITAGE AVE &  N FRANCISCO AVE; 1900 N MOZART ST,"$25,614.21"
1,Alley Resurfacing Menu (2022),W DIVISION ST &  N WOOD ST&N HONORE ST &  W HADDON AVE,"$7,273.67"
1,Alley Speed Hump Menu (2022),W ARMITAGE AVE &  N DRAKE AVE&N ST LOUIS AVE &  W CORTLAND ST; 3505-3539 W ARMITAGE AVE,"$1,400.00"
1,Alley Speed Hump Replacement (2022),1220 N PAULINA ST; N WOOD ST &  W CRYSTAL ST&W DIVISION ST &  N HERMITAGE AVE,$0.00
1,Alley Speed Hump Replacement (2022),N ELK GROVE AVE &  N WOOD ST&N HONORE ST &  N MILWAUKEE AVE,$0.00
1,Alley Speed Hump Replacement (2022),N FRANCISCO AVE &  W CORTLAND ST&W BLOOMINGDALE AVE &  N MOZART ST; 1825 N FRANCISCO AVE,$0.00
1,Arterial Street Bump Outs Menu (2022),W DIVISION ST &  N PAULINA ST,"$136,714.06"
1,Bike Lane/Marked Shared Lane Menu (2022),ON N WOOD ST FROM W GRAND AVE  (500 N) TO W ELLEN ST  (1300 N),"$300,000.00"
1,Concrete Alley Menu (2022),W ARMITAGE AVE &  N WHIPPLE ST&N ALBANY AVE &  W CORTLAND ST,"$320,000.00"
1,CPS Turf Field - James Otis School,525 N ARMOUR ST,"$30,000.00"
1,Curb & Gutter Menu (2022),1651 W SUPERIOR ST,"$6,296.36"
1,Curb & Gutter Menu (2022),1656 W HURON ST,"$32,339.16"
1,Curb & Gutter Menu (2022),2759 N LEAVITT ST,"$25,646.12"
1,"In-Road ""State Law Stop For Pedestrians"" Sign Menu (2022)",N DAMEN AVE &  W LE MOYNE ST,$600.00
1,Pavement Markings Menu (2022),ON W CHICAGO AVE FROM N ASHLAND AVE  (1600 W) TO N WESTERN AVE  (2400 W),"$100,000.00"
1,Pavement Markings Menu (2022),W PALMER BLVD &  N SACRAMENTO AVE,"$3,300.00"
1,Sidewalk Menu (2022),1001-1027 N MARSHFIELD AVE,"$36,340.46"
1,Sidewalk Menu (2022),1111 N PAULINA ST,"$3,172.43"
1,Sidewalk Menu (2022),1500-1522 N MAPLEWOOD AVE,"$19,773.85"
1,Sidewalk Menu (2022),1501-1519 W FRY ST,"$54,549.40"
1,Sidewalk Menu (2022),1801-1811 N ALBANY AVE,"$14,637.07"
1,Sidewalk Menu (2022),1813-1817 W ELLEN ST,"$9,284.24"
1,Sidewalk Menu (2022),2348 W WALTON ST,"$19,209.99"
1,Sidewalk Menu (2022),2601 W HADDON AVE,"$15,389.97"
1,Sidewalk Menu (2022),2726 W CHANAY ST,"$4,456.86"
1,Sidewalk Menu (2022),801-835 N HERMITAGE AVE,"$32,864.89"
1,Street Resurfacing Menu (2022),ON N WOLCOTT AVE FROM W ELLEN ST  (1300 N) TO N WICKER PARK AVE  (1370 N),"$62,875.45"
1,Street Speed Hump Menu (2022),ON W ERIE ST FROM N ASHLAND AVE  (1600 W) TO N PAULINA ST  (1700 W),"$4,700.00"
1,Street Speed Hump Menu (2022),ON W OHIO ST FROM N WOLCOTT AVE  (1900 W) TO N DAMEN AVE  (2000 W),"$4,700.00"
1,Street Speed Hump Menu (2022),ON W PRINDIVILLE ST FROM N MILWAUKEE AVE  (2700 W) TO N STAVE ST  (2800 W),"$2,350.00"
1,Street Speed Hump Replacement (2022),ON N WOLCOTT AVE FROM W ELLEN ST  (1300 N) TO N WICKER PARK AVE  (1370 N),$0.00
1,Street Traffic Circle Menu (2022),W WABANSIA AVE &  N WASHTENAW AVE,"$14,135.87"
